"IDENTIFICACION","SEXO","SALARIO","TIPO_ASEGURAMIENTO","SECTOR","INDICADOR_ACTIVO","INDICADOR.EXTRANJERO","INDICADOR_MOROSO","EDAD"
1,"HOMBRE","","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",42
2,"HOMBRE","3315014","PENSIONADOS EN SU PROPIO SISTEMA","SECTOR PUBLICO","SI","NO","NO",77
3,"MUJER","270486,01","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",45
4,"MUJER","544949,83","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",49
5,"MUJER","210000","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",42
6,"HOMBRE","397150","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",44
7,"HOMBRE","854712","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",38
8,"HOMBRE","401000","ASALARIADO","SECTOR PRIVADO","SI","SI","SI",36
9,"MUJER","264703,96","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",21
10,"HOMBRE","4677126,85","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",40
11,"MUJER","1200000","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",30
12,"MUJER","1030132","ASALARIADO","SECTOR PUBLICO","SI","NO","SI",58
13,"HOMBRE","731287,5","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",40
14,"HOMBRE","282305","ASEGURADO VOLUNTARIO","SECTOR PRIVADO","SI","NO","NO",51
15,"MUJER","343390,86","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","NO","NO",59
16,"MUJER","1943489,5","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",58
17,"MUJER","1108980","ASALARIADO","SECTOR PUBLICO","SI","NO","SI",36
18,"MUJER","133157","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",39
19,"HOMBRE","553939","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",45
20,"MUJER","309820","ASEGURADO VOLUNTARIO","SECTOR PRIVADO","SI","SI","SI",52
21,"MUJER","","ASALARIADO","SECTOR PRIVADO","SI","SI","NO",28
22,"HOMBRE","278030","CONVENIOS ESPECIALES DE TRABAJADORES INDEPENDIENTES","SECTOR PRIVADO","SI","NO","NO",59
23,"HOMBRE","2124814","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",32
24,"HOMBRE","191744,68","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",18
25,"MUJER","1117489","ASALARIADO","SECTOR PUBLICO","SI","NO","SI",36
26,"HOMBRE","1451530","PENSIONADOS EN SU PROPIO SISTEMA","SECTOR PUBLICO","SI","NO","NO",62
27,"HOMBRE","66700","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",38
28,"MUJER","73410","ASALARIADO","SECTOR PRIVADO","SI","SI","NO",22
29,"HOMBRE","815355,66","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",42
30,"HOMBRE","398125","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",38
31,"HOMBRE","606763,96","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",39
32,"HOMBRE","360420","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","NO","SI",53
33,"MUJER","297046","ASALARIADO","SECTOR PRIVADO","SI","SI","NO",41
34,"HOMBRE","558030","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",28
35,"HOMBRE","68309,03","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",43
